plaintext	voltage
71cd141245a06c958fe294762377052c2a37e37b21758b2188cec454e83008f1	2.5132
cb35450b4fbecc9e012267e6979b270d39998304c925d2af1b4ad945169ed04b	2.5132
f70afbdd259347ea949468374c4631dd268b8220b2d127a0396216ab08e0cafa	2.5118
4370a71608daed61b6238484b06f552b832c3fcfbf9cfef4213220a421a98709	2.5122
6e4a12f06230f3cd749d00174c6cd6f26800ce27fe36f928290bced539a067f3	2.5129
8349bf38b0b530589335201bc964fa9bcd6de81b1faf8446847d582fe3c3e3ce	2.5137
23a9fea5d1379a77aeeb917a930db5fba86f38895f828e494ee376d2f28795da	2.5121
2b26859fc898aaf55135ac5df75bcf2fb7c1b74d7c17765d1066abcc8a42ba12	2.5133
9c42fa70bd94e96549c4962d080965164cb972222f4552ef30680650b831fbc5	2.5127
3f1b9cacccb39ee2987c8b0e7aa5d1e0fd73895f536dd83e6b8fcd89a9ed72ee	2.5126
37af3c6e45069614cc86510875ea314b982a62423dc8d092d311ceafb4c32f86	2.5121
01ca9ba91769ca564c76080c454b50c3c18784b51369ef64a9ea9988c6aa929e	2.5126
3b6eccd21825d9aa665f6d0d763d7ad9002576545e88f4271a1d73849cb832f9	2.5144
4950a723046e85ffa87a2d7aef60672d9c8a1c91475e3db60d02ba2a795017ed	2.512
061d675a85c46864280bdbd3df4860dcb812ca3dbd662dcc3be6d0a373b914f7	2.5129
2951d4ec3b968c9c56db8a78a6bdabd32afa7db4709f89892053b1debef22849	2.513
5d6569f5a60cd052b8488cd95b9e7d84a3cdd64f28b1f1730e9e9a865062e9db	2.5119
cbe55477dbfa3bdafe5f69071ec6cd78d931e88d8b32a620b5f60f2bab2939fc	2.5113
7ea1a195226affec67685cbed4764f5fe352bd7de07a99d8e2596dd10505a8a3	2.5121
a12d4409a96d65f4834ee16606af3acbd23816f6f4686d5fec3eaf235da52430	2.5153
3dae30a2281765e8e694c893a5459506668b63846d4e8ff4685912325519375c	2.5133
4983e1354c87520f74aba88288d020a8f9c2c0d9483c804ec36ae7ef279bdf3b	2.5135
812364b707b1454709e1b0334ef722ee41f264313699f340ecca0cd84bd6fa5d	2.513
593d6e5e1b508422efda3f0504baa68eee31701dd0d4529f3464f63bb33727a0	2.513
a49df0c08e0f42c8cb83a08da6e69b48fc2f9c2d3ab29a697cb8550c55761bf2	2.5124
0277557e41d9aa64a49fa9f528718d8ac90c1035beab7836e744b2994e81fc7b	2.5124
4c180113f750e6230b53c92334ffe418eb52bf029cc1785a1add00b58c63071c	2.5137
a9403c2e075ad6e9de2a3021cc045825584c9f364b780557d2d1abe0eb9eea94	2.5117
b4496627e34c554fe7780024b4402e439964b193d00f506cadfe517fd2f5e489	2.5132
076476b90a24a1c37c209e49abbcb7e7d7952206bc6e07ce353f921aaf02fea0	2.5127
8f0a00cf7ef7cb00c73fc19167fb92331a4075fa41dedb22bf2c752c7a9d06eb	2.5128
6100c1c59bc35b84da2238661af4f141f438c23e23b08017af73a3e7a9363ece	2.5129
9d1e200defa40b5c74f2a2f2a7099b2126b2e994fd49692cf3ca201560b77efd	2.5133
plaintext	voltage
ce802e0c1feac5970cc9320d7cce3c325cead7175dae62bfe06800a704f89bf3	2.5137
bd06ff5375fae569263d26bddc3f0bfb8166662adb593e50de4a398420b4c5e9	2.5133
d1d58cc9a739522dfb7bdf255545869566ec6b31bcfca0befa6ec3b4fe369c66	2.5117
74870e8b17c8d3f5a95613043a197ea7fcaae6065ac2056d13937760c370dd56	2.5137
daeb748da6ff146f2e8d95894f270557f20c2edcefddf563037e7931bc925b8d	2.5144
76be2f7e39f2cdea77a2e08d0db07636bf40203e174cabb64b2fd2f9bec78959	2.5143
59523fce9e9d574df181ce24386647e361037ddc30636a14526442d166d93c6d	2.5127
5ffd8aa06c3ff2d413daf78c37706223f46119c1a5a87b4591b621d7c36b76d1	2.5128
8a510c415ae26d160e31761c9ade0aa088dfe97e5942b542b8b4c9e9278ff2c6	2.5124
705ccd2c8a84739045a5bba2d6a69e75ab30f4d8f332dc9805fa124f2b3eb271	2.513
e9cc46f02f580667c4f616b9609bd7932cda73e959ced38c5ea8becca6a0ecf8	2.5133
15d0fd6104ceab7b8735b4569c0071d4586103a4466c85c840ab81c06bde97f2	2.5125
7dd19e4a6f90696eda13259ff0a11bf20ddac5d54616e2fd950889fb170204d9	2.5125
8d774d4680c7a807297b80d41a5eb31ff09e3232b5a12f1187c2321263fe61d3	2.5125
2694e9d1a1aee5813c8c614031a5b536941ecc5f03f187f9254ca138839ea275	2.5118
8a89f6cbb23da4c88756dbbff3b8b615262451fa7b363cca31387f237131cf63	2.5134
c79305c151425d0a4a1b506e58cddbec3a7aa8761e2dfe4626e01d6f20fcc0e6	2.5146
2eaef8600e88f0b3642852a5d37a8683d381df6a554a6e5aacf6f4d83b1633ac	2.5136
5b3afc7fb72902686cc80e3777be75f4e95fac0ca5cae06e695532d8c165eece	2.513
231362330124665937ee9bb4b01aa79f16431dd96e30152a1409ad46867b9308	2.512
102fe8baf3fdcd0d46c30b6aab0ddd4d87c0de2f53325245248e92b841e73636	2.5134
5b538395ac9d6dd6d7d942fe0591d18830e884cfbfb64aab546745ac337dd751	2.5142
104bef4861437ac0ed070cc347dfa54f72a1fa16e8c8f5538a453aa481622dfb	2.5129
397c4a3594e61201f98f4f650a211772f05d0e8d1349af12aa8ebad7082fb51f	2.5133
fd4fc13a17011ae579bc58f086e4f405fed01a73d67e5bf6dfacdf19dc1d0668	2.5126
489b15a6aafb04b12044ae2bb4c9fcced4baff347124ef4b0ff3fe8e9b0ad7a8	2.5133
ab7bf34b2f263fb4139ace58a7bfae1ffa5546ac8419853c6cf636cc354dd823	2.5128
f9949220bb7f1ced3116c260cc07c851dbbdda4ba35642ab369145ed6ad8520a	2.5135
93167cd1a9d134d009dc74b5a8d37709305d38ad09222608f25e350ca3470a87	2.5142
ad4c36ea9412f08c15d839187e678678b5e08c5d102b4205f23d6345022f8842	2.513
c889c643886257e26d48b24af5f9dbe256187bfe44d8c28239d4ddc096f2062c	2.5134
c7b6077def5e2b6765a800ac18504662045737cf4c54329305fc53e6a7cf5062	2.5123
f24d95291a89f14737c0fdcb34a4d552529104a86c7691b7619c1082da72564b	2.5125
b62ca654f62299f244fe9df55596051cf85e46625571bd4220662de7579ea783	2.5122
6fb56e95a5e46fda5c496618d025d3879bd73d1322d64171ec1ec9a61aba04e1	2.5133
2cbad538f776c3bcaf1c1bd83e2cce7849645dcab77c52e3389392b5fabd4c9c	2.5132
a31e1cf86acec9220a3600d2a40be15c7224c4c263da11e007f9f29abb279841	2.5127
9d3217a049b1433cb3979c70da866ec0658254e9d2db0d40bb38287fbdc0becb	2.5143
2a29f4d5bae8e78925b035cd8e7e78c1a07744744beda392cbad1bf7590bb789	2.5141
c1f637f4f727ad1ca84357b363705b35422e446d5506d7103aa4ea2cd1c21027	2.5135
cf2e101d45dd536ab0303334a09b3ec6a2e4663ad4019c58d36ab7f1684bd130	2.5125
10f37d1393c91426bc9260d8c3409db69f515953bba5f1f4612cb47ced9f185b	2.5134
a9e984bf3e1cfec52b7f14e0fd096360724c89c117d19bfd0ccf1d02c5152ee5	2.5134
72f8fe2f327278bbb5ad21ef7af3bc32cb7907a1f8edb249e057d34e28bc5aeb	2.5106
e2c8f185b0c5ffe9be5957c8e8e340b29504c371b883143ee743d3f1ce7af973	2.5135
f5a41e795812e0514e76820aae6612a0ce8e4b688a26caa79e1953baa72d80fd	2.5126
b5d5bba1ad0e9a9bf6600c5c2e5f8ed365ebcd0740ff89a641299fa489e2fd2a	2.5129
bb091485c72d7852ed4f6a7b67367113e6f9acb2fa3921ffe16597ca40446195	2.5127
9d1b076e266996ec68ebc6c17b62d8d36dfbe9dfb53abdd792b6a011e7ad01e0	2.5131
739047c7ec422944c958c42e35798c37a9b48c1301bdd011a7235fa0a64dadfb	2.5123
plaintext	voltage
7be57eeab4f8ccb66689470662385cd44348602af03fce1a933150fced5da5db	2.5122
c9a5fd07fcb5aeae8609bb5dabeb78d8dfbdc78894f86b64c6e73a1a8ed281e9	2.5112
8a8ea4956b80f882b195e73f6bc95a32e0f12db2182af88087884368950afd20	2.5124
a36b2947bac6f929a826e2dd90a0c91351e96ce70118b0b88cda491c9d2a2c81	2.512
76b89bc2cfb61405c04be518f37fb59003148db79dfc98e0310e13b670d9968c	2.5124
9c5fbc016eb2f233e4f4d2b411788ccb3232fd8245a7813cdb71adc5a3c66e82	2.5128
9883e601816ef4847daa08def9012f30673552473dfff683d09a4a01e31ae081	2.5125
6d231ba127204535b422969fd714626c409bcb49a1552e46ce3d2381e2c1a18c	2.5115
038153a3105bc89efa709169d7f7819b5ff53b6b3b0c598d672c7ac7c55154bc	2.512
55d79e3e22da9a0855a043006830d6a8b7cab8d9571493650c706a4c7a36c1d7	2.5119
05408bd0c8db2209ce788f28e3d8e2d1f15a59bbb841c2ed67f511644a95d198	2.5129
45711085c5edb7aa8ed15e9e19561bc045df3a84bfb41965b7bf93690937886c	2.5132
fe8fa1be9ce13fdbb35c6cbb89b650cdd583bf751f7fa8aa4ca32df403960bf6	2.5136
9d9ae17a3dfbb2b2b13a34be2296f6f464b2a64dd6867dcf238a88189c32d0c7	2.5119
9bc64d97f05aacf0a230d947b97b3065273f8b9b137d9362b999daf3f27ddba9	2.5124
dbc963f1f28d01116c3ee4befa53928fba1b8fb78dc534f4a07ca9979bc601ee	2.5123
bab5f99f15ea93e043c57ce70c5fd668302cb7146cf708a8bba37eca352363d6	2.5132
dfa4b3519ee896c96ae736e1ca0f6acb93c1ff025410422a6251df3de6564d0d	2.5116
20ae50688d4005fd246db5ce4ee6497f618b7f5a7c63ac79dd566a1eb9dc2d67	2.5133
1e1d9184773b3391959f65d5e64465b91716ddb554d0ee1bbb8e3ce978ee2bd1	2.5132
ed63da8cce7ae9b9ee1099c0b29c8c032dbf3db892f58c91e7aa414393baa873	2.5134
cfbf1dda080e72ef478e95836dfd87f74709077836412c37ffa28eea24b09b26	2.5131
d84a74875aae2072c1acfac63aab2c01ea2235e394e70b62637d74047f0b583d	2.5129
17f7b8a4fda82f45383f4214a5e4ac3a217126c9a1a817b7be3eb2dd9900f220	2.5127
607d2f882a5200656b3c02b98487ec95f6a01109c2f73fc9714e3c10fc8ecb3f	2.5131
9b283a544a60ea428c8e6fc6d124104b217cb333d21da1cad8e50d713d01061c	2.5135
155995874b8ee059743f2b0d63df64138c8112c614e6e58d60cdc35660d49bdf	2.5142
48486b2ae8b8a6e6d0353bb965bb11d0f3c96ff68581ccf91a566789b93f6b67	2.5127
519048fdb8e2947ae6f9894d30dd902ae190b254f375ac56d1181bced5d8b72a	2.5137
de9e51e5861c66178323e18021269da646a75db7cb63d646e6a4d33822c137ca	2.513
c6793a61428dc837b257c55a56268b83565567bc329251a21ee83d3159ddb20c	2.5127
927411926f58e00d3c966968f8b042b45daec5694776f81462405372074f6026	2.5121
a5e2f60984d929abafe34786eecb479b9ef7c41ce116b5f4cd85708d634f0026	2.5124
78085bf64ac21c5c46def75e5205926293416e7516c88c68fa649fc310ae4cee	2.5128
19ec03f582860d9776662f913fa38dc6fcbfc6c57caf4a54acb0eeb696114463	2.5131
a847a1d074e8963f69356ddc8464c8190b5c1070605c83d55178a7bfbb925fe4	2.5134
2162332049f646b087b831a1409c818c325d48764f36e39f03b5c9dee030339b	2.5135
bcc129fc287470b30fa8225f2bb6bbce8185dea155a1d138ea55be20d5bf1e7e	2.5137
5d32ce286140a996b530a01fc21f60fe677e789b6fb2da52c2f42c6be89eb32e	2.514
571e3f529d96914d8823e88e41527e5fe6841fd09502a830743f9f5c14bb5dfb	2.5118
4bdd8f5c13cf275cdf549287c1a5739b35c4af01e76fdd55b2c039e55a365736	2.5132
082f387c7e81b5567b35746a9659bd33259d5f5f729a19ce28153eee1d1a8824	2.5129
abaa8b24c286085d18a38e8e55038f5b1df7c587e0b985febfbb0512597c0389	2.5131
f569eb255dfdf0d20316a28ae78ee44bbe7ca19935c82ee429cdf9ac769fa867	2.5118
8b93908856613d0f323c8807413a5eb5378aeaaaaf0485b7f86d5282151f052b	2.5133
b38bc1f8fe285b8636240ca0794a9fa7c1eecf09ec37330d8349d8966653bacd	2.5132
94960569195ad1afb7376cd25a2fb45cc906d208c107f799f8f4248ae05517f4	2.5124
c7729edf6bffee375d88d0733b4203d1bb1323cebafe952f040e0db610e53f6e	2.5128
fa44eac340f3654c3e605aa0e07794723efd21ba08cac6dbab9d109d4c4a3955	2.5124
63990ad713ff0357c05dad1808f420cc9fe96ebbefaba1ed4b2dede48a269be4	2.5128
plaintext	voltage
d5a7640c1b5f8da766b07786cb62c4226f7f1df090c87699c901ba4a9b4315d6	2.5129
a4b45cb03cac60f98c21abd049a7040d831403dfd207f8dc361a710c6517bf63	2.5126
5a10fdec7ab0e14a856567dfa925583770b488fd75eb0f9099f3f4abdbed3b58	2.5139
60a6c2e5c46542d73587a4e093e1202e977069fce5779292956df25c302a86e3	2.5131
60093ec91aae526f0f9a00de43f175ea3231743389349ec94c3b76b992510d09	2.514
bbf43b5a499ecf67a7fde9f66e7647ea599f65535208452097bda36266e84f86	2.5124
2591065618f0fd147d19c8f465171f5ca26ba52f2870fd57eaac6f778af82f1b	2.5138
562df09d7b981fad643eca09ba7978de4c48e051f3c51311a83675e98e333ef7	2.5127
820882c58524c1f9dfaf39cab921f1711a9c405bbeef8dcd32c551dbd87f9afa	2.5144
be01fc7ce6061ddc5e86d4f104dfc0f6d6a553a66fe2d862b16e2a79049bd7db	2.5134
1995ee894a17327dd56e9a9bf339aeb8251ac297e77430adf02e4b730cd87ee5	2.512
5672c3c3b572038edfa2e4dc9aaa2109a0520f67332b80abcfee972a42f96f8a	2.5128
900c27234e59576285c02636cdf439bfb134ff68bcca110d093865c2b16bc62d	2.5119
bde2433fb241052b38cba02f77099d79143faca42a529d5acc1906979159167e	2.5119
